word,pos,definition,section
clemency,noun,leniency and compassion shown toward offenders by a person or agency charged with administering justice,basic
coalesce,verb,fuse or cause to grow together,basic
cogent,adjective,clear and persuasive,basic
cohesive,adjective,"well integrated, forming a united whole",basic
collusion,noun,agreement on a secret plot,basic
colossal,adjective,so great in size or force or extent as to elicit awe,basic
commendable,adjective,worthy of high praise,basic
complacent,adjective,contented to a fault with oneself or one's actions,basic
complementary,adjective,enhancing each other's qualities (for two things or more).,basic
compound,verb,"make more intense, stronger, or more marked",basic
conducive,adjective,making a situation or outcome more likely to happen,basic
conniving,verb,taking part in immoral and unethical plots,basic
consecrate,verb,to make holy or set apart for a high purpose,basic
constraint,noun,something that limits or restricts,basic
consummate,adjective,having or revealing supreme mastery or skill,basic
consummate,verb,to make perfect and complete in every respect,basic
contemptuous,adjective,"scornful, looking down at others with a sneering attitude",basic
contrite,adjective,to be remorseful,basic
conundrum,noun,a difficult problem,basic
convivial,adjective,describing a lively atmosphere,basic
convoluted,adjective,highly complex or intricate,basic
cornucopia,noun,an abundant supply of something good,basic
corroborate,verb,to confirm or lend support to (usually an idea or claim),basic
cosmopolitan,adjective,comprising many cultures; global in reach and outlook,basic
credence,noun,belief in something,basic
creditable,adjective,deserving of praise but not that amazing,basic
credulity,noun,tendency to believe readily,basic
cumbersome,adjective,difficult to handle or use especially because of size or weight,basic
dearth,noun,a lack or shortage,basic
debase,verb,reduce the quality or value of something,basic
debunk,verb,"expose as false ideas and claims, especially while ridiculing",basic
decimation,noun,destroying or killing a large part of the population,basic
degrade,verb,"reduce in worth or character, usually verbally",basic
delegate,verb,give an assignment to (a person),basic
deliberate,verb,think about carefully; weigh the pros and cons of an issue,basic
demean,verb,to insult; to cause someone to lose dignity or respect,basic
demure,adjective,to be modest and shy,basic
deride,verb,treat or speak of with contempt,basic
derisive,adjective,abusing vocally; expressing contempt or ridicule,basic
derogative,adjective,expressed as worthless or in negative terms,basic
desecrate,verb,to willfully violate or destroy a sacred place,basic
destitute,adjective,poor enough to need help from others,basic
destitute,adjective,"completely wanting or lacking (usually ""destitute of"")",basic
deter,verb,turn away from by persuasion,basic
deter,verb,try to prevent; show opposition to,basic
detrimental,adjective,"(sometimes followed by ""to"") causing harm or injury",basic
devolve,verb,pass on or delegate to another,basic
devolve,verb,"grow worse (usually ""devolve into"")",basic
diabolical,adjective,to be extremely wicked like the devil,basic
differentiate,verb,"be a distinctive feature, attribute, or trait (sometimes in positive sense)",basic
differentiate,verb,evolve so as to lead to a new species or develop in a way most suited to the environment,basic
dilapidated,adjective,in terrible condition,basic
diligent,adjective,characterized by care and perseverance in carrying out tasks,basic
discord,noun,lack of agreement or harmony,basic
discreet,adjective,careful to protect one's speech or actions in order to avoid offense or gain an advantage,basic
discriminate,verb,recognize or perceive the difference,basic
disenfranchise,verb,deprive of voting rights,basic
disheartened,adjective,made less hopeful or enthusiastic,basic
disparate,adjective,two things are fundamentally different,basic
dispatch,noun,the property of being prompt and efficient,basic
dispatch,verb,dispose of rapidly and without delay and efficiently,basic
docile,adjective,easily handled or managed; willing to be taught or led or supervised or directed,basic
dog,verb,to pursue relentlessly; to hound,basic
dupe,verb,to trick or swindle,basic
dupe,noun,a person who is easily tricked or swindled,basic
eccentric,adjective,highly unconventional or usual (usually describes a person),basic
egotist,noun,a conceited and self-centered person,basic
eke,verb,"To live off meager resources, to scrape by",basic
elaborate,adjective,marked by complexity and richness of detail,basic
elaborate,verb,explain in more detail,basic
elude,verb,escape understanding,basic
elusive,adjective,difficult to capture or difficult to remember,basic
embellish,verb,"make more attractive by adding ornament, colour, etc.; make more beautiful",basic
embroiled,adjective,involved in argument or contention,basic
empathetic,adjective,showing understanding and ready comprehension of other peoples' states and emotions,basic
emulate,verb,"strive to equal or match, especially by imitating; compete with successfully",basic
endemic,adjective,native; originating where it is found,basic
enmity,noun,a state of deep-seated ill-will,basic
entice,verb,get someone to do something through (often false or exaggerated) promises,basic
enumerate,verb,determine the number or amount of,basic
enumerate,verb,"specify individually, one by one",basic
err,verb,to make an error,basic
errant,adjective,to be wandering; not sticking to a circumscribed path,basic
erratic,adjective,unpredictable; strange and unconventional,basic
euphoria,noun,a feeling of great (usually exaggerated) elation,basic
evasive,adjective,avoiding or escaping from difficulty or danger or commitment,basic
evasive,adjective,deliberately vague or ambiguous,basic
evenhanded,adjective,without partiality,basic
exasperate,verb,to irritate intensely,basic
excruciating,adjective,extremely painful,basic
exemplify,verb,be characteristic of,basic
exemplify,verb,clarify by giving an example of,basic
exhort,verb,to strongly urge on; encourage,basic
extenuating,adjective,making less guilty or more forgivable,basic
facetious,adjective,cleverly amusing in tone,basic
fawn,verb,try to gain favor by extreme flattery,basic
ferret,verb,to search for something persistently,basic
fete,verb,to celebrate a person,basic
fickle,adjective,"liable to sudden unpredictable change, esp. in affections or attachments",basic
finagle,verb,achieve something by means of trickery or devious methods,basic
fledgling,adjective,young and inexperienced; describing any new participant in some activity,basic
fleece,verb,to deceive,basic
flounder,verb,behave awkwardly; have difficulties,basic
flush,adjective,to be in abundance,basic
foible,noun,a behavioral attribute that is distinctive and peculiar to an individual,basic
foolhardy,adjective,marked by defiant disregard for danger or consequences,basic
forthright,adjective,characterized by directness in manner or speech; without subtlety or evasion,basic
futile,adjective,producing no result or effect; unproductive of success,basic
genial,adjective,"agreeable, conducive to comfort",basic
genteel,adjective,marked by refinement in taste and manners,basic
glean,verb,collect information bit by bit,basic
glib,adjective,(of a person) speaking with ease but without sincerity,basic
goad,verb,urge on with unpleasant comments,basic
grovel,verb,show submission or fear,basic
guffaw,verb,laugh boisterously,basic
hamper,verb,prevent the progress or free movement of,basic
hamstrung,verb,made ineffective or powerless,basic
heyday,noun,the pinnacle or top of a time period or career,basic
hodgepodge,noun,a confusing mixture or jumble,basic
hound,verb,to pursue relentlessly,basic
humdrum,adjective,dull and lacking excitement,basic
illicit,adjective,contrary to or forbidden by law,basic
immaterial,adjective,not relevant,basic
impeccable,adjective,without fault or error,basic
impede,verb,be a hindrance or obstacle to,basic
impending,adjective,close in time; about to occur,basic
impermeable,adjective,does not allow fluids to pass through,basic
implicate,verb,convey a meaning; imply,basic
implicate,verb,"to indicate in wrongdoing, usually a crime",basic
imponderable,adjective,impossible to estimate or figure out,basic
impregnable,adjective,immune to attack; incapable of being tampered with,basic
inadvertent,adjective,happening by chance or unexpectedly or unintentionally,basic
inarticulate,adjective,without or deprived of the use of speech or words,basic
incense,verb,make furious,basic
incessant,adjective,uninterrupted in time and indefinitely long continuing,basic
inclement,adjective,"(of weather) unpleasant, stormy",basic
inclement,adjective,used of persons or behavior; showing no mercy,basic
incumbent,adjective,necessary (for someone) as a duty or responsibility,basic
indict,verb,to formally charge or accuse of wrong-doing,basic
indigenous,adjective,originating in a certain area,basic
indignant,adjective,feeling anger over a perceived injustice,basic
industrious,adjective,characterized by hard work and perseverance,basic
inflammable,adjective,"extremely controversial, incendiary",basic
ingenuity,noun,the power of creative imagination,basic
inkling,noun,a slight suggestion or vague understanding,basic
insipid,adjective,dull and uninteresting,basic
insolvent,adjective,unable to pay one's bills; bankrupt,basic
intermittent,adjective,stopping and starting at irregular intervals,basic
inundate,verb,to flood or overwhelm,basic
irascible,adjective,quickly aroused to anger,basic
irk,verb,irritate or vex,basic
irresolute,adjective,uncertain how to act or proceed,basic
jargon,noun,a characteristic language of a particular group,basic
jocular,adjective,characterized by jokes and good humor,basic
junta,noun,an aggressive takeover by a group (usually military),basic
laborious,adjective,characterized by effort to the point of exhaustion; especially physical effort,basic
leery,adjective,openly distrustful and unwilling to confide,basic
lethargic,adjective,lacking energy,basic
lucid,adjective,(of language) transparently clear; easily understandable,basic
macabre,adjective,suggesting the horror of death and decay; gruesome,basic
malady,noun,a disease or sickness,basic
malevolent,adjective,wishing or appearing to wish evil to others; arising from intense ill will or hatred,basic
malleable,adjective,capable of being shaped or bent or drawn out,basic
malleable,adjective,easily influenced,basic
malodorous,adjective,having an unpleasant smell,basic
martial,adjective,suggesting war or military life,basic
maxim,noun,a short saying expressing a general truth,basic
meander,verb,to wander aimlessly,basic
melancholy,noun,"a deep, long-lasting sadness",basic
melee,noun,"a wild, confusing fight or struggle",basic
mesmerize,verb,to spellbind or enthrall,basic
misanthrope,noun,a hater of mankind,basic
miscreant,noun,a person who breaks the law,basic
miser,noun,a person who doesn't like to spend money (because they are greedy),basic
misogynist,noun,a person who dislikes women in particular,basic
moment,noun,significant and important value,basic
moot,adjective,open to argument or debate; undecidable in a meaningless or irrelevant way,basic
morose,adjective,ill-tempered and not inclined to talk; gloomy,basic
morph,verb,To undergo dramatic change in a seamless and barely noticeable fashion. The earnestness of the daytime talk shows of the 1970's has morphed into something far more sensational and vulgar: today guests actually standup and threaten to take swings at one another.,basic
muted,adjective,"softened, subdued",basic
obdurate,adjective,stubbornly persistent in changing an opinion or action,basic
obliging,adjective,showing a cheerful willingness to do favors for others,basic
obstinate,adjective,resistant to guidance or discipline; stubbornly persistent,basic
ornate,adjective,marked by elaborate rhetoric and elaborated with decorative details,basic
paradoxical,adjective,seemingly contradictory but nonetheless possibly true,basic
pastoral,adjective,relating to the countryside in a pleasant sense,basic
patronize,verb,treat condescendingly,basic
paucity,noun,a lack of something,basic
peevish,adjective,easily irritated or annoyed,basic
perennial,adjective,lasting an indefinitely long time; eternal; everlasting,basic
perpetuate,verb,cause to continue,basic
perquisite,noun,a right reserved exclusively by a particular person or group (especially a hereditary or official right),basic
pertinent,adjective,having precise or logical relevance to the matter at hand,basic
perturb,verb,disturb in mind or cause to be worried or alarmed,basic
peruse,verb,to read very carefully,basic
pine,verb,to yearn for,basic
pinnacle,noun,the highest point,basic
piquant,adjective,having an agreeably pungent taste,basic
pithy,adjective,concise and full of meaning,basic
pittance,noun,a small amount (of money),basic
placid,adjective,not easily irritated,basic
plodding,adjective,(of movement) slow and laborious,basic
ploy,noun,a clever plan to turn a situation to one's advantage,basic
powwow,noun,an informal meeting or discussion,basic
precarious,adjective,fraught with danger,basic
precedent,noun,an example that is used to justify similar occurrences at a later time,basic
preempt,verb,take the place of or have precedence over,basic
preemptive,adjective,done before someone else can do it,basic
presumption,noun,an assumption that is taken for granted,basic
presumption,noun,audacious (even arrogant) behavior that you have no right to,basic
presumptuous,adjective,excessively forward,basic
prevail,verb,be widespread in a particular area at a particular time; be current:,basic
prevail,verb,prove superior,basic
pristine,adjective,"Unspoiled, untouched (usu. of nature) The glacial lake was pristine and we filled our canteens to drink deeply.",basic
pristine,adjective,"Immaculately clean and unused Drill sergeants are known for demanding pristine cabinets, uniforms, and beds, and often make new recruits clean and clean and clean until they meet the expected high standards.",basic
profuse,adjective,plentiful; pouring out in abundance,basic
profusion,noun,the property of being extremely abundant,basic
proponent,noun,a person who pleads for a cause or propounds an idea,basic
provisional,adjective,under terms not final or fully worked out or agreed upon,basic
pugnacious,adjective,eager to fight or argue; verbally combative,basic
qualm,noun,uneasiness about the fitness of an action,basic
quandary,noun,state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options,basic
quip,noun,a witty saying or remark,basic
raffish,adjective,marked by a carefree unconventionality or disreputableness,basic
raft,noun,a large number of something,basic
rakish,adjective,marked by a carefree unconventionality or disreputableness,basic
rankle,verb,gnaw into; make resentful or angry,basic
rash,adjective,marked by defiant disregard for danger or consequences; imprudently incurring risk,basic
redress,noun,an act of making something right,basic
relegate,verb,assign to a lower position,basic
remiss,adjective,to be negligent in one's duty,basic
renege,verb,fail to fulfill a promise or obligation,basic
replete,adjective,completely stocked or furnished with something,basic
reprobate,noun,a person who is disapproved of,basic
reservation,noun,an unstated doubt that prevents you from accepting something wholeheartedly,basic
resignation,noun,the acceptance of something unpleasant that can't be avoided,basic
resolve,verb,reach a conclusion after a discussion or deliberation,basic
respite,noun,a pause from doing something (as work),basic
retiring,adjective,"to be shy, and to be inclined to retract from company",basic
retract,verb,"pull inward or towards a center; formally reject or disavow a formerly held belief, usually under pressure",basic
rile,verb,"cause annoyance in; disturb, especially by minor irritations",basic
robust,adjective,"sturdy and strong in form, constitution, or construction",basic
sanctimonious,adjective,making a show of being pious; holier-than-thou,basic
sanguine,adjective,cheerful; optimistic,basic
savvy,noun,a perceptive understanding,basic
savvy,verb,get the meaning of something,basic
savvy,adjective,well-informed or perceptive,basic
scintillating,adjective,describes someone who is brilliant and lively,basic
screed,noun,an abusive rant (often tedious),basic
sentimental,adjective,"effusively or insincerely emotional, especially in art, music, and literature",basic
serendipity,noun,"the instance in which an accidental, fortunate discovery is made",basic
serene,adjective,calm and peaceful,basic
slapdash,adjective,carelessly and hastily put together,basic
smattering,noun,a slight or superficial understanding of a subject; a small amount of something,basic
smug,adjective,marked by excessive complacency or self-satisfaction,basic
snide,adjective,expressive of contempt; derogatory or mocking in an indirect way,basic
snub,verb,refuse to acknowledge; reject outright and bluntly,basic
sordid,adjective,involving ignoble actions and motives; arousing moral distaste and contempt; foul and run-down and repulsive,basic
spendthrift,noun,one who spends money extravagantly,basic
spurn,verb,reject with contempt,basic
squander,verb,"spend thoughtlessly; waste time, money, or an opportunity",basic
staid,adjective,characterized by dignity and propriety,basic
start,verb,to suddenly move in a particular direction,basic
steadfast,adjective,marked by firm determination or resolution; not shakable,basic
stem,verb,to hold back or limit the flow or growth of something,basic
stipend,noun,a regular allowance (of money),basic
stolid,adjective,having or revealing little emotion or sensibility; not easily aroused or excited,basic
stymie,verb,hinder or prevent the progress or accomplishment of,basic
summit,noun,the peak or highest point,basic
summit,noun,a meeting of high-level leaders,basic
surly,adjective,inclined to anger or bad feelings with overtones of menace,basic
tact,noun,consideration in dealing with others and avoiding giving offense,basic
tarnish,verb,"make dirty or spotty, as by exposure to air; also used metaphorically",basic
tawdry,adjective,tastelessly showy; cheap and shoddy,basic
taxing,adjective,use to the limit; exhaust,basic
telling,adjective,significant and revealing of another factor,basic
telltale,adjective,revealing,basic
tender,verb,offer up something formally,basic
thoroughgoing,adjective,very thorough; complete,basic
thrifty,adjective,spending money wisely,basic
thwart,verb,"hinder or prevent (the efforts, plans, or desires) of",basic
tirade,noun,an angry speech,basic
tout,verb,advertize in strongly positive terms; show off,basic
transitory,adjective,lasting a very short time,basic
travail,noun,use of physical or mental energy; hard work; agony or anguish,basic
tribulation,noun,"something, especially an event, that causes difficulty and suffering",basic
tumult,noun,"a state of chaos, noise and confusion",basic
uncanny,adjective,suggesting the operation of supernatural influences; surpassing the ordinary or normal,basic
uncompromising,adjective,not making concessions,basic
unconscionable,adjective,unreasonable; unscrupulous; excessive,basic
underwrite,verb,to support financially,basic
unnerve,verb,to make nervous or upset,basic
unprecedented,adjective,having never been done or known before; novel,basic
unruly,adjective,(of persons) noisy and lacking in restraint or discipline; unwilling to submit to authority,basic
unseemly,adjective,not in keeping with accepted standards of what is right or proper in polite society,basic
urbane,adjective,showing a high degree of refinement and the assurance that comes from wide social experience,basic
vacuous,adjective,"devoid of intelligence, matter, or significance",basic
vanquish,verb,"come out better in a competition, race, or conflict",basic
variance,noun,the quality of varying,basic
veneer,noun,covering consisting of a thin superficial layer that hides the underlying substance,basic
vicarious,adjective,felt or undergone as if one were taking part in the experience or feelings of another,basic
vie,verb,compete for something,basic
vindictive,adjective,to have a very strong desire for revenge,basic
virago,noun,an ill-tempered or violent woman,basic
voracious,adjective,very hungry; approaching an activity with gusto,basic
wanton,adjective,"without check or limitation; showing no moral restraints to one's anger, desire, or appetites",basic
wax,verb,to gradually increase in size or intensity,basic
whimsical,adjective,determined by impulse or whim rather than by necessity or reason,basic
zenith,noun,the highest point; culmination,basic
abjure,verb,formally reject or give up (as a belief),advanced
abrogate,verb,revoke formally,advanced
adjudicate,verb,to serve as a judge in a competition; to arrive at a judgment or conclusion,advanced
afford,verb,provide with an opportunity,advanced
alacrity,noun,an eager willingness to do something,advanced
anachronism,noun,something that is inappropriate for the given time period (usually something old).,advanced
anathema,noun,a detested person; the source of somebody's hate,advanced
anemic,adjective,lacking energy and vigor,advanced
anodyne,noun,something that soothes or relieves pain,advanced
anodyne,adjective,inoffensive,advanced
antic,adjective,ludicrously odd,advanced
aplomb,noun,great coolness and composure under strain,advanced
apogee,noun,the highest point,advanced
apostate,noun,a person who has abandoned a religious faith or cause,advanced
apothegm,noun,"a short, pithy instructive saying",advanced
apotheosis,noun,exaltation to divine status; the highest point of development,advanced
approbatory,adjective,expressing praise or approval,advanced
appropriate,verb,to give or take something by force,advanced
appropriate,verb,to allocate,advanced
appurtenant,adjective,supply added support,advanced
arch,adjective,to be deliberately teasing,advanced
arrant,adjective,complete and wholly (usually modifying a noun with negative connotation),advanced
arriviste,noun,a person who has recently reached a position of power; a social climber,advanced
arrogate,verb,seize and control without authority,advanced
artifice,noun,cunning tricks used to deceive others,advanced
artless,adjective,without cunning or deceit,advanced
artlessness,noun,the quality of innocence,advanced
asperity,noun,harshness of manner,advanced
assiduously,adverb,with care and persistence,advanced
atavism,noun,a reappearance of an earlier characteristic; throwback,advanced
attenuate,verb,to weaken (in terms of intensity); to taper off/become thinner.,advanced
autocratic,adjective,characteristic of an absolute ruler or absolute rule; having absolute sovereignty,advanced
autocratic,adjective,offensively self-assured or given to exercising usually unwarranted power,advanced
baleful,adjective,threatening or foreshadowing evil or tragic developments,advanced
base,adjective,"the lowest, class were without any moral principles",advanced
bastardization,noun,an act that debases or corrupts,advanced
beg,verb,to evade or dodge (a question),advanced
bemoan,verb,express discontent or a stong regret,advanced
benighted,adjective,fallen into a state of ignorance,advanced
bereft,adjective,unhappy in love; suffering from unrequited love,advanced
bereft,adjective,sorrowful through loss or deprivation,advanced
besotted,adjective,strongly affectionate towards,advanced
besotted,adjective,very drunk,advanced
bilious,adjective,irritable; always angry,advanced
blinkered,adjective,to have a limited outlook or understanding,advanced
bowdlerize,verb,edit by omitting or modifying parts considered indelicate,advanced
bridle,verb,the act of restraining power or action or limiting excess,advanced
bridle,verb,anger or take offense,advanced
bristle,verb,react in an offended or angry manner,advanced
broadside,noun,a strong verbal attack,advanced
bromide,noun,a trite or obvious remark,advanced
brook,verb,put up with something or somebody unpleasant,advanced
browbeat,verb,be bossy towards; discourage or frighten with threats or a domineering manner,advanced
byzantine,adjective,intricate and complex,advanced
callow,adjective,young and inexperienced,advanced
canard,noun,a deliberately misleading fabrication,advanced
capitulate,noun,to surrender (usually under agreed conditions),advanced
cataclysm,noun,an event resulting in great loss and misfortune,advanced
catholic,adjective,of broad scope; universal,advanced
cede,verb,relinquish possession or control over,advanced
celerity,noun,"speed, rapidity",advanced
chagrin,noun,strong feelings of embarrassment,advanced
chagrin,verb,cause to feel shame; hurt the pride of,advanced
charlatan,noun,a flamboyant deceiver; one who attracts customers with tricks or jokes,advanced
chary,adjective,cautious,advanced
chauvinism,noun,fanatical patriotism; belief that one's group/cause is superior to all other groups/causes,advanced
chimera,noun,something desired or wished for but is only an illusion and impossible to achieve,advanced
choleric,adjective,prone to outbursts of temper; easily angered,advanced
churlish,adjective,lacking manners or refinement,advanced
complaisant,adjective,showing a cheerful willingness to do favors for others,advanced
complicit,adjective,"Associated with or participating in an activity, especially one of a questionable nature. While the grand jury cleared the senator of all criminal charges, in the public mind he was still complicit in the corruption.",advanced
conciliate,verb,to make peace with,advanced
concomitant,adjective,describing an event or situation that happens at the same time as or in connection with another,advanced
conflagration,noun,a very intense and uncontrolled fire,advanced
conflate,verb,mix together different elements or concepts,advanced
contentious,adjective,likely to argue,advanced
corollary,noun,a practical consequence that follows naturally,advanced
cosseted,verb,treat with excessive indulgence,advanced
coterminous,adjective,being of equal extent or scope or duration,advanced
countermand,verb,a contrary command cancelling or reversing a previous command,advanced
cow,verb,to intimidate,advanced
crestfallen,adjective,brought low in spirit,advanced
crystallize,verb,cause to take on a definite and clear shape,advanced
cupidity,noun,greed for money,advanced
curmudgeon,noun,"a grouchy, surly person",advanced
debonair,adjective,having a sophisticated charm,advanced
decry,verb,express strong disapproval of,advanced
defray,verb,"to help pay the cost of, either in part of full",advanced
deign,verb,do something that one considers to be below one's dignity,advanced
demonstrative,adjective,given to or marked by the open expression of emotion,advanced
denouement,noun,the final resolution of the many strands of a literary or dramatic work; the outcome of a complex sequence of events,advanced
derelict,adjective,(of a person) not doing one's duties,advanced
derelict,noun,(of a building) abandoned,advanced
desiccated,adjective,"uninteresting, lacking vitality",advanced
desideratum,noun,something desired as a necessity,advanced
despot,noun,a cruel and oppressive dictator,advanced
diatribe,noun,a strong verbal attack against a person or institution,advanced
diminutive,noun,to indicate smallness,advanced
diminutive,adjective,very small,advanced
disabuse,verb,to persuade somebody that his/her belief is not valid,advanced
discursive,adjective,(of e.g. speech and writing) tending to depart from the main point,advanced
disingenuous,adjective,not straightforward; giving a false appearance of frankness,advanced
dispensation,noun,an exemption from a rule or obligation,advanced
dissemble,verb,"conceal one's true motives, usually through deceit",advanced
dissipate,verb,squander or spend money frivolously,advanced
dissipate,verb,to disperse or scatter,advanced
dissolution,noun,a living full of debauchery and indulgence in sensual pleasure,advanced
doleful,adjective,filled with or evoking sadness,advanced
dolorous,adjective,showing sorrow,advanced
doughty,adjective,brave; bold; courageous,advanced
dovetail,verb,"fit together tightly, as if by means of a interlocking joint",advanced
duplicity,noun,"deceitfulness, pretending to want one thing but interested in something else",advanced
ebullient,adjective,joyously unrestrained,advanced
effervescent,adjective,marked by high spirits or excitement,advanced
effrontery,noun,audacious (even arrogant) behavior that you have no right to,advanced
elegiac,adjective,expressing sorrow,advanced
embryonic,adjective,in an early stage of development,advanced
empiricism,noun,"any method that derives knowledge from experience, used in experimental science as a way to gain insight and knowledge",advanced
enamor,verb,attraction or feeling of love,advanced
encumber,verb,hold back,advanced
enjoin,verb,give instructions to or direct somebody to do something with authority,advanced
enormity,noun,an act of extreme wickedness,advanced
enthrall,verb,hold spellbound,advanced
epigram,noun,a witty saying,advanced
epiphany,noun,a sudden revelation or moment of insight,advanced
eponym,noun,the name derived from a person (real or imaginary); the person for whom something is named,advanced
equitable,adjective,fair to all parties as dictated by reason and conscience,advanced
equivocate,verb,"to speak vaguely, usually with the intention to mislead or deceive",advanced
ersatz,adjective,not real or genuine; phony,advanced
estimable,adjective,deserving of esteem and respect,advanced
ethereal,adjective,characterized by lightness and insubstantiality,advanced
evanescent,adjective,tending to vanish like vapor,advanced
excoriate,verb,to criticize very harshly,advanced
execrate,verb,to curse and hiss at,advanced
exegesis,noun,"critical explanation or analysis, especially of a text",advanced
exemplar,noun,something to be imitated,advanced
exiguity,noun,the quality of being meager,advanced
exorbitant,adjective,greatly exceeding bounds of reason or moderation,advanced
expansive,adjective,"communicative, and prone to talking in a sociable manner",advanced
expunge,verb,to eliminate completely,advanced
expurgate,verb,to remove objectionable material,advanced
extrapolate,verb,draw from specific cases for more general cases,advanced
facile,adjective,arrived at without due care or effort; lacking depth,advanced
factious,adjective,"produced by, or characterized by internal dissension",advanced
factitious,adjective,artificial; not natural,advanced
feckless,adjective,lazy and irresponsible,advanced
fecund,adjective,intellectually productive,advanced
fell,adjective,terribly evil,advanced
firebrand,noun,someone who deliberately creates trouble,advanced
flag,verb,"droop, sink, or settle from or as if from pressure or loss of tautness; become less intense",advanced
flippant,adjective,showing inappropriate levity,advanced
flummox,verb,be a mystery or bewildering to,advanced
fractious,adjective,irritable and is likely to cause disruption,advanced
gaffe,noun,a socially awkward or tactless act,advanced
gambit,noun,"a manuveur or risk in a game or conversation, designed to secure an advantage",advanced
gerrymander,verb,to manipulate voting districts in order to favor a particular political party,advanced
graft,noun,"corruption, usually through bribery",advanced
grandiloquent,adjective,puffed up with vanity,advanced
gumption,noun,resourcefulness and determination,advanced
hagiographic,adjective,excessively flattering toward someone's life or work,advanced
hail,verb,enthusiastically acclaim or celebrate something,advanced
halcyon,adjective,idyllically calm and peaceful; suggesting happy tranquillity; marked by peace and prosperity,advanced
hauteur,noun,overbearing pride evidenced by a superior manner toward inferiors,advanced
hector,verb,to bully or intimidate,advanced
hedge,verb,to limit or qualify a statement; to avoid making a direct statement,advanced
histrionic,adjective,to be overly theatrical,advanced
hoary,adjective,ancient,advanced
hobble,verb,to hold back the progress of something,advanced
hoodwink,verb,to deceive or trick someone,advanced
hubris,noun,overbearing pride or presumption,advanced
illustrious,adjective,widely known and esteemed; having or conferring glory,advanced
imbibe,verb,to drink or absorb as if drinking,advanced
imbroglio,noun,a confusing and potentially embarrassing situation,advanced
immure,verb,"to enclose, usually in walls",advanced
impecunious,adjective,lacking money; poor,advanced
imperious,adjective,having or showing arrogant superiority to and disdain of those one views as unworthy,advanced
impervious,adjective,not admitting of passage or capable of being affected,advanced
impetuous,adjective,characterized by undue haste and lack of thought or deliberation,advanced
importuned,verb,beg persistently and urgently,advanced
improvident,adjective,not given careful consideration,advanced
impugn,verb,attack as false or wrong,advanced
